sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop
1   STAY (with Justin Bieber)	The Kid LAROI	australian hip hop	2021	2023‑04‑13	170	76	59	-5	10	48	142	4	5	87  
2   Cold Heart - PNAU Remix	Elton John	glam rock	2021	2023‑04‑13	116	80	80	-6	10	94	203	3	3	86                
3   drivers license	Olivia Rodrigo	pop	2021	2023‑04‑13	144	43	56	-9	11	14	242	77	6	86                         
4   good 4 u	Olivia Rodrigo	pop	2021	2023‑04‑13	167	66	56	-5	8	69	178	34	15	86                                
5   Yonaguni	Bad Bunny	reggaeton	2021	2023‑04‑13	180	65	64	-5	14	44	207	28	12	85                              
6   Beggin'	Måneskin	indie rock italiano	2017	2023‑04‑13	134	80	71	-5	36	59	212	13	5	85                       
7   Pepas	Farruko	reggaeton	2021	2023‑04‑13	130	77	76	-4	13	44	287	1	3	84                                     
8   telepatía	Kali Uchis	colombian pop	2020	2023‑04‑13	84	52	65	-9	20	55	160	11	5	84                          
9   Easy On Me	Adele	british soul	2021	2023‑04‑13	142	37	60	-8	13	13	225	58	3	84                              
10  Peaches (feat. Daniel Caesar & Giveon)	Justin Bieber	canadian pop	2021	2023‑04‑13	90	70	68	-6	42	46	198	32
11  Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)	Tainy	pop reggaeton	2021	2023‑04‑13	170	70	64	-6	9	14	20
12  INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	lgbtq+ hip hop	2021	2023‑04‑13	150	70	74	-7	5	89	212	2	6	83   
13  Enemy (with JID) - from the series Arcane League of Legends	Imagine Dragons	modern rock	2021	2023‑04‑13	77
14  Desesperados	Rauw Alejandro	puerto rican pop	2021	2023‑04‑13	90	69	87	-3	9	51	225	36	8	82                 
15  Tiago PZK: Bzrp Music Sessions, Vol. 48	Bizarrap	argentine hip hop	2021	2023‑04‑13	97	82	66	-3	10	75	160	4
16  LA NOCHE DE ANOCHE	Bad Bunny	reggaeton	2020	2023‑04‑13	82	62	86	-5	9	39	203	3	29	81                       
17  Volví	Aventura	bachata	2021	2023‑04‑13	176	86	73	-4	7	79	230	42	18	80                                     
18  Volando - Remix	Mora	trap latino	2021	2023‑04‑13	154	69	66	-5	11	63	273	21	7	80                           
19  Sobrio	Maluma	latin pop	2021	2023‑04‑13	178	77	76	-3	15	63	201	14	22	80                                   
20  Tiroteo - Remix	Marc Seguí	spanish pop	2021	2023‑04‑13	110	52	75	-7	7	60	322	28	3	80                      
21  DÁKITI	Bad Bunny	reggaeton	2020	2023‑04‑13	110	57	73	-10	11	14	205	40	5	80                                
22  TE MUDASTE	Bad Bunny	reggaeton	2020	2023‑04‑13	92	64	81	-5	12	47	130	23	6	80                              
23  Cúrame	Rauw Alejandro	puerto rican pop	2021	2023‑04‑13	102	63	77	-4	11	26	165	58	5	79                     
24  Nostálgico	Rvssian	reggaeton	2021	2023‑04‑13	98	85	73	-3	24	60	210	17	5	79                                
25  Hawái	Maluma	latin pop	2020	2023‑04‑13	180	73	78	-3	6	56	199	19	39	79                                     
26  Eladio Carrion: Bzrp Music Sessions, Vol. 40	Bizarrap	argentine hip hop	2021	2023‑04‑13	117	52	78	-6	27	84
27  Butter	BTS	k-pop	2021	2023‑04‑13	110	46	76	-5	8	70	165	0	9	79                                             
28  Miénteme	TINI	latin pop	2021	2023‑04‑13	92	54	85	-5	29	92	165	16	7	78                                     
29  Todo De Ti	Rauw Alejandro	puerto rican pop	2021	2023‑04‑13	128	72	78	-4	9	34	200	30	5	78                  
30  SEJODIOTO	KAROL G	reggaeton	2021	2023‑04‑13	176	74	82	-4	7	68	181	16	15	78                                
31  love nwantiti (feat. Dj Yo! & AX'EL) - Remix	CKay	afro r&b	2021	2023‑04‑13	120	60	58	-5	5	44	188	44	6	78  
32  Tacones Rojos	Sebastian Yatra	colombian pop	2021	2023‑04‑13	123	86	75	-4	14	93	189	8	3	78                 
33  Si No Te Tengo / Ángel / Aquello Que Pasó	Ke Personajes		2021	2023‑04‑13	82	71	42	-4	24	53	428	5	5	78     
34  Medallo	Blessd	reggaeton	2021	2023‑04‑13	90	70	79	-5	66	79	233	57	8	77                                    
35  EL MAKINON	KAROL G	reggaeton	2021	2023‑04‑13	89	71	64	-3	11	44	209	26	13	77                               
36  512	Mora	trap latino	2021	2023‑04‑13	88	67	82	-8	17	70	194	35	15	77                                       
37  Una Vaina Loca	Fuego	electro latino	2021	2023‑04‑13	107	59	81	-3	9	55	226	13	5	76                         
38  MONTERO (Call Me By Your Name)	Lil Nas X	lgbtq+ hip hop	2021	2023‑04‑13	179	51	61	-7	38	76	138	30	15	76   
39  Ley Seca	JhayCo	reggaeton	2021	2023‑04‑13	105	84	76	-4	13	58	263	10	10	76                                 
40  Una Locura	Ozuna	puerto rican pop	2020	2023‑04‑13	168	76	71	-5	24	91	231	14	4	76                          
41  Pareja Del Año	Sebastian Yatra	colombian pop	2021	2023‑04‑13	80	62	72	-5	9	81	195	16	5	75                 
42  AM Remix	Nio Garcia	reggaeton	2021	2023‑04‑13	172	66	74	-5	8	79	261	11	16	75                              
43  Los Tragos	Reik	latin arena pop	2021	2023‑04‑13	94	70	56	-5	16	68	171	12	6	75                             
44  Hecha Pa' Mi	Boza	panamanian pop	2020	2023‑04‑13	100	76	73	-5	10	83	186	36	6	75                           
45  Qué Más Pues?	J Balvin	reggaeton	2021	2023‑04‑13	102	82	89	-4	17	77	218	3	11	74                           
46  Otra Noche	Los Ángeles Azules	gruperas inmortales	2021	2023‑04‑13	92	71	61	-4	8	64	199	35	3	74            
47  L-Gante: Bzrp Music Sessions, Vol.38	Bizarrap	argentine hip hop	2021	2023‑04‑13	88	82	55	-3	9	76	192	37	26
48  Bandido	Myke Towers	reggaeton	2020	2023‑04‑13	168	62	71	-5	10	68	233	12	9	74                              
49  Baila Conmigo (with Rauw Alejandro)	Selena Gomez	dance pop	2021	2023‑04‑13	150	54	82	-7	10	66	186	2	7	74  
50  911 (Remix)	Sech	panamanian pop	2021	2023‑04‑13	93	71	82	-4	29	78	209	17	4	74                             
51  Relación - Remix	Sech	panamanian pop	2020	2023‑04‑13	172	77	79	-3	28	84	247	3	10	74                       
52  Fiel	Los Legendarios	reggaeton	2021	2023‑04‑13	98	70	85	-4	11	51	262	41	6	73                              
53  BICHOTA	KAROL G	reggaeton	2021	2023‑04‑13	164	66	86	-4	11	87	179	20	15	73                                 
54  KESI - Remix	Camilo	colombian pop	2021	2023‑04‑13	123	82	87	-4	9	82	177	13	5	73                           
55  Entre Nosotros	Tiago PZK	trap argentino	2021	2023‑04‑13	170	51	73	-6	14	79	192	49	5	72                    
56  Malbec	Duki	argentine hip hop	2021	2023‑04‑13	123	69	71	-6	13	44	176	57	4	72                              
57  2/Catorce	Rauw Alejandro	puerto rican pop	2021	2023‑04‑13	112	56	77	-3	12	37	206	71	9	72                  
58  Se Te Nota (with Guaynaa)	Lele Pons	latin pop	2020	2023‑04‑13	103	69	91	-3	27	96	156	9	7	72               
59  Snow Tha Product: Bzrp Music Sessions, Vol. 39	Bizarrap	argentine hip hop	2021	2023‑04‑13	133	75	83	-5	10	
60  Nathy Peluso: Bzrp Music Sessions, Vol. 36	Bizarrap	argentine hip hop	2020	2023‑04‑13	94	66	65	-4	7	74	171
61  Bar	TINI	latin pop	2021	2023‑04‑13	94	69	52	-4	33	68	160	13	8	71                                          
62  Reloj	Rauw Alejandro	puerto rican pop	2020	2023‑04‑13	176	54	82	-3	12	61	232	18	21	71                     
63  Nicky Jam: Bzrp Music Sessions, Vol. 41	Bizarrap	argentine hip hop	2021	2023‑04‑13	90	85	63	-3	14	82	158	9
64  Vida de Rico	Camilo	colombian pop	2021	2023‑04‑13	88	50	81	-4	6	96	185	18	5	71                            
65  HASTA ABAJO	Kevin Roldan	reggaeton	2019	2023‑04‑13	170	67	71	-5	33	64	230	29	36	71                        
66  Loco	Justin Quiles	reggaeton	2021	2023‑04‑13	128	90	77	-3	9	85	232	22	5	71                                
67  Morad: Bzrp Music Sessions, Vol. 47	Bizarrap	argentine hip hop	2021	2023‑04‑13	122	86	77	-5	10	55	178	47	4
68  Pintao	Duki	argentine hip hop	2021	2023‑04‑13	106	80	74	-5	8	47	167	14	6	71                               
69  París	Ingratax	concurso de talentos argentino	2021	2023‑04‑13	168	46	57	-6	7	40	151	44	10	70             
70  Además de Mí - Remix	Rusherking	trap argentino	2021	2023‑04‑13	78	61	40	-5	19	41	330	4	5	70               
71  Índigo	Camilo	colombian pop	2021	2023‑04‑13	129	78	75	-7	11	93	215	1	3	70                                 
72  Parce (feat. Justin Quiles)	Maluma	latin pop	2020	2023‑04‑13	84	74	69	-3	11	88	248	42	23	70               
73  Ella No Es Tuya - Remix	Rochy RD	dembow	2021	2023‑04‑13	97	61	59	-4	65	96	218	39	29	70                    
74  El Mismo Aire	La K'onga	cuarteto	2020	2023‑04‑13	150	75	76	-6	13	82	209	7	4	70                            
75  La Niña de la Escuela	Lola Indigo	spanish pop	2021	2023‑04‑13	176	88	71	-2	93	85	204	17	8	70              
76  Chica Ideal	Sebastian Yatra	colombian pop	2020	2023‑04‑13	101	89	57	-4	16	71	183	8	16	70                  
77  YaMeFui	Bizarrap	argentine hip hop	2021	2023‑04‑13	101	64	79	-5	28	18	183	66	7	69                         
78  Ptazeta: Bzrp Music Sessions, Vol. 45	Bizarrap	argentine hip hop	2021	2023‑04‑13	114	81	83	-5	7	71	161	4	1
79  Mala Mía	LIT killah	argentine hip hop	2021	2023‑04‑13	176	68	68	-4	12	53	191	20	8	69                      
80  TOP 5	Duki	argentine hip hop	2021	2023‑04‑13	100	82	85	-3	11	69	147	9	21	69                               
81  Una Nota	J Balvin	reggaeton	2021	2023‑04‑13	180	79	66	-5	6	71	171	2	21	69                                 
