sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop
1   Perfect	Ed Sheeran	pop	2017	2023‑04‑13	95	45	60	-6	11	17	263	16	2	89
2   lovely (with Khalid)	Billie Eilish	art pop	2018	2023‑04‑13	115	30	35	-10	10	12	200	93	3	89
3   Believer	Imagine Dragons	modern rock	2017	2023‑04‑13	125	78	78	-4	8	67	204	6	13	89
4   Closer	The Chainsmokers	dance pop	2016	2023‑04‑13	95	52	75	-6	11	66	245	41	3	85
5   Let Me Down Slowly	Alec Benjamin	alt z	2018	2023‑04‑13	150	56	65	-6	12	48	169	74	3	85
6   positions	Ariana Grande	pop	2020	2023‑04‑13	144	80	74	-5	9	68	172	47	9	84
7   No Lie	Sean Paul	dance pop	2018	2023‑04‑13	102	88	74	-3	21	46	221	5	12	83
8   Levitating	Dua Lipa	dance pop	2020	2023‑04‑13	103	88	70	-2	21	91	204	6	8	83
9   Stereo Hearts (feat. Adam Levine)	Gym Class Heroes	dance pop	2011	2023‑04‑13	90	80	65	-3	27	80	211	3	10	82
10  Señorita	Shawn Mendes	canadian pop	2019	2023‑04‑13	117	55	76	-6	8	75	191	4	3	82
11  Tu Aake Dekhle	King	desi pop	2020	2023‑04‑13	96	84	77	-4	14	19	270	52	11	82
12  m y . l i f e (with 21 Savage & Morray)	J. Cole	conscious hip hop	2021	2023‑04‑13	140	59	60	-7	21	8	219	6	14	80
13  Play Date	Melanie Martinez	alt z	2015	2023‑04‑13	124	73	68	-5	22	45	180	61	5	80
14  Dusk Till Dawn (feat. Sia) - Radio Edit	ZAYN	dance pop	2018	2023‑04‑13	180	44	26	-7	11	10	239	10	4	80
15  Runaway	AURORA	art pop	2016	2023‑04‑13	114	30	42	-9	10	12	249	63	4	79
16  SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)	Amaarae	afro r&b	2021	2023‑04‑13	110	52	87	-8	11	32	205	43	6	79
17  We Rollin	Shubh	punjabi hip hop	2021	2023‑04‑13	85	50	82	-9	10	28	199	26	14	78
18  love nwantiti (feat. Dj Yo! & AX'EL) - Remix	CKay	afro r&b	2021	2023‑04‑13	120	60	58	-5	5	44	188	44	6	78
"19  Ranjha (From ""Shershaah"")"	Jasleen Royal	desi pop	2021	2023‑04‑13	83	57	60	-6	10	24	229	48	5	78
