sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop
1   Save Your Tears	The Weeknd	canadian contemporary r&b	2020	2023‑04‑14	118	83	68	-5	54	64	216	2	3	89
2   Watermelon Sugar	Harry Styles	pop	2019	2023‑04‑14	95	82	55	-4	34	56	174	12	5	89
3   Shape of You	Ed Sheeran	pop	2017	2023‑04‑14	96	65	83	-3	9	93	234	58	8	88
4   One Dance	Drake	canadian hip hop	2016	2023‑04‑14	104	63	79	-6	33	37	174	1	5	87
5   Shivers	Ed Sheeran	pop	2021	2023‑04‑14	141	86	79	-3	4	82	208	28	9	87
6   The Nights	Avicii	dance pop	2014	2023‑04‑14	126	84	53	-5	25	65	177	2	4	87
7   Hope	XXXTENTACION	emo rap	2018	2023‑04‑14	146	46	59	-6	15	23	111	66	6	86
8   Easy On Me	Adele	british soul	2021	2023‑04‑14	142	37	60	-8	13	13	225	58	3	84
9   You Right	Doja Cat	dance pop	2021	2023‑04‑14	129	62	83	-6	8	44	186	2	6	83
10  Unstoppable	Sia	australian dance	2016	2023‑04‑14	174	78	47	-5	10	26	218	11	8	82
11  Boy With Luv (feat. Halsey)	BTS	k-pop	2019	2023‑04‑14	120	86	65	-5	19	80	230	9	8	79
12  One Right Now (with The Weeknd)	Post Malone	dfw rap	2021	2023‑04‑14	97	78	69	-5	8	69	194	4	5	79
13  Who Says	Selena Gomez & The Scene	dance pop	2011	2023‑04‑14	101	93	68	-3	15	74	196	8	5	78
14  Tum Se Hi	Pritam	desi pop	2007	2023‑04‑14	130	54	61	-8	13	61	321	33	3	78
15  SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)	DJ Snake	edm	2021	2023‑04‑14	100	84	80	-3	9	70	226	0	5	76
16  Hold On	Justin Bieber	canadian pop	2021	2023‑04‑14	140	63	66	-6	12	30	171	1	4	76
17  Into Your Arms (feat. Ava Max)	Witt Lowry	indie pop rap	2018	2023‑04‑14	170	79	50	-4	36	23	186	1	22	75
18  0X1=LOVESONG (I Know I Love You) feat. Seori	TOMORROW X TOGETHER	k-pop	2021	2023‑04‑14	105	84	58	-5	7	48	202	6	8	74
19  Na Ja	Pav Dharia	desi pop	2017	2023‑04‑14	90	65	77	-6	8	82	208	7	14	74
20  Anyone	Justin Bieber	canadian pop	2021	2023‑04‑14	116	54	69	-8	11	58	191	18	3	74
21  Baila Conmigo (with Rauw Alejandro)	Selena Gomez	dance pop	2021	2023‑04‑14	150	54	82	-7	10	66	186	2	7	74
22  Whoopty	CJ	nyc rap	2020	2023‑04‑14	140	65	72	-8	13	66	123	20	13	73
23  Mere Liye Tum Kaafi Ho (From "Shubh Mangal Zyada Saavdhan")	Ayushmann Khurrana	desi pop	2020	2023‑04‑14	178	64	70	-4	15	81	132	49	30	73
24  Copines	Aya Nakamura	basshall	2018	2023‑04‑14	180	79	70	-4	11	90	172	27	9	73
25  Up	Cardi B	dance pop	2021	2023‑04‑14	166	80	87	-6	5	82	157	0	27	72
26  Chidiya	Vilen	desi hip hop	2019	2023‑04‑14	180	49	49	-9	11	41	253	72	3	72
27  Jalebi Baby (Tesher x Jason Derulo)	Tesher	dance pop	2021	2023‑04‑14	93	83	69	-7	25	87	169	3	4	72
28  Yours	JIN	k-pop	2021	2023‑04‑14	72	43	49	-7	8	16	265	35	4	72
29  Lost Cause	Billie Eilish	art pop	2021	2023‑04‑14	75	33	53	-8	6	52	212	70	25	72
30  Tum Hi Aana (From "Marjaavaan")	Payal Dev	desi pop	2019	2023‑04‑14	90	40	47	-7	15	35	249	63	2	71
31  Jashn-E-Bahaaraa	A.R. Rahman	filmi	2007	2023‑04‑14	138	34	70	-10	8	49	315	77	3	71
32  Dinero	Trinidad Cardona	sped up	2018	2023‑04‑14	120	78	71	-5	11	48	161	1	7	70
33  Signed to God	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑14	93	67	83	-7	5	70	148	5	19	70
34  i n t e r l u d e	J. Cole	conscious hip hop	2021	2023‑04‑14	99	57	77	-6	10	10	133	6	11	70
35  3:59 AM	DIVINE	desi hip hop	2020	2023‑04‑14	97	59	67	-7	18	24	272	18	34	68
36  Taaron Ke Shehar	Neha Kakkar	desi pop	2020	2023‑04‑14	80	61	44	-5	10	35	230	24	4	67
37  GRIND	Emiway Bantai	desi hip hop	2020	2023‑04‑14	99	74	85	-5	7	57	175	29	4	67
38  Top Notch Gabru	Vicky	punjabi pop	2021	2023‑04‑14	170	77	72	-4	2	92	158	14	16	67
39  love nwantiti (feat. ElGrande Toto) - North African Remix	CKay	afro r&b	2020	2023‑04‑14	186	72	64	-6	11	49	135	58	24	67
40  Butter - Megan Thee Stallion Remix	BTS	k-pop	2021	2023‑04‑14	110	59	74	-5	11	77	164	0	14	66
41  Take My Breath - Single Version	The Weeknd	canadian contemporary r&b	2021	2023‑04‑14	121	74	75	-6	10	52	220	1	5	65
