sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop
1   Blinding Lights	The Weeknd	canadian contemporary r&b	2020	2023‑04‑13	171	73	51	-6	9	33	200	0	6	92
2   Watermelon Sugar	Harry Styles	pop	2019	2023‑04‑13	95	82	55	-4	34	56	174	12	5	89
3   Save Your Tears	The Weeknd	canadian contemporary r&b	2020	2023‑04‑13	118	83	68	-5	54	64	216	2	3	89
4   Ghost	Justin Bieber	canadian pop	2021	2023‑04‑13	154	74	60	-6	42	44	153	19	5	88
5   Circles	Post Malone	dfw rap	2019	2023‑04‑13	120	76	70	-3	9	55	215	19	4	87
6   Woman	Doja Cat	dance pop	2021	2023‑04‑13	108	76	82	-4	12	88	173	9	9	87
7   Shivers	Ed Sheeran	pop	2021	2023‑04‑13	141	86	79	-3	4	82	208	28	9	87
8   Bad Habits	Ed Sheeran	pop	2021	2023‑04‑13	126	89	81	-4	37	54	231	5	3	87
9   STAY (with Justin Bieber)	The Kid LAROI	australian hip hop	2021	2023‑04‑13	170	76	59	-5	10	48	142	4	5	87
10  drivers license	Olivia Rodrigo	pop	2021	2023‑04‑13	144	43	56	-9	11	14	242	77	6	86
11  Heat Waves	Glass Animals	gauze pop	2020	2023‑04‑13	81	53	76	-7	9	53	239	44	9	86
12  deja vu	Olivia Rodrigo	pop	2021	2023‑04‑13	181	61	44	-7	37	18	216	58	11	86
13  good 4 u	Olivia Rodrigo	pop	2021	2023‑04‑13	167	66	56	-5	8	69	178	34	15	86
14  Beggin'	Måneskin	indie rock italiano	2017	2023‑04‑13	134	80	71	-5	36	59	212	13	5	85
15  Fair Trade (with Travis Scott)	Drake	canadian hip hop	2021	2023‑04‑13	168	47	67	-9	22	29	291	5	26	84
16  telepatía	Kali Uchis	colombian pop	2020	2023‑04‑13	84	52	65	-9	20	55	160	11	5	84
17  Leave Before You Love Me (with Jonas Brothers)	Marshmello	brostep	2021	2023‑04‑13	120	74	72	-5	12	64	155	0	4	84
18  THATS WHAT I WANT	Lil Nas X	lgbtq+ hip hop	2021	2023‑04‑13	88	85	74	-5	5	55	144	1	22	84
19  All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)	Taylor Swift	pop	2021	2023‑04‑13	93	52	63	-9	9	21	613	27	3	84
20  Levitating (feat. DaBaby)	Dua Lipa	dance pop	2020	2023‑04‑13	103	83	70	-4	7	92	203	1	6	84
21  Peaches (feat. Daniel Caesar & Giveon)	Justin Bieber	canadian pop	2021	2023‑04‑13	90	70	68	-6	42	46	198	32	12	84
22  Easy On Me	Adele	british soul	2021	2023‑04‑13	142	37	60	-8	13	13	225	58	3	84
23  Streets	Doja Cat	dance pop	2019	2023‑04‑13	90	46	75	-8	34	19	227	21	8	83
24  Enemy (with JID) - from the series Arcane League of Legends	Imagine Dragons	modern rock	2021	2023‑04‑13	77	78	73	-4	43	56	173	24	27	83
25  Save Your Tears (with Ariana Grande) (Remix)	The Weeknd	canadian contemporary r&b	2021	2023‑04‑13	118	83	65	-5	9	59	191	2	3	83
26  Leave The Door Open	Bruno Mars	dance pop	2021	2023‑04‑13	148	62	59	-8	9	72	242	18	3	83
27  INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	lgbtq+ hip hop	2021	2023‑04‑13	150	70	74	-7	5	89	212	2	6	83
28  Dynamite	BTS	k-pop	2020	2023‑04‑13	114	77	75	-4	9	74	199	1	10	83
29  Need to Know	Doja Cat	dance pop	2021	2023‑04‑13	130	61	66	-7	9	19	211	30	7	82
30  Heartbreak Anniversary	Giveon	pop	2020	2023‑04‑13	89	47	45	-9	30	54	198	52	8	82
31  Cold Heart - PNAU Remix	Elton John	glam rock	2021	2023‑04‑13	116	80	80	-6	9	93	203	4	3	82
32  love nwantiti (ah ah ah)	CKay	afro r&b	2019	2023‑04‑13	93	74	73	-4	16	53	146	37	4	82
33  Moth To A Flame (with The Weeknd)	Swedish House Mafia	edm	2021	2023‑04‑13	120	66	55	-7	11	11	234	0	4	82
34  MONEY	LISA	k-pop	2021	2023‑04‑13	140	55	83	-10	14	40	168	16	23	82
35  Kiss Me More (feat. SZA)	Doja Cat	dance pop	2021	2023‑04‑13	111	71	76	-3	12	78	209	26	3	82
36  My Universe	Coldplay	permanent wave	2021	2023‑04‑13	105	71	57	-6	33	47	226	1	4	82
37  Good Days	SZA	pop	2020	2023‑04‑13	121	66	44	-8	69	41	279	50	6	81
38  Beautiful Mistakes (feat. Megan Thee Stallion)	Maroon 5	dance pop	2021	2023‑04‑13	99	68	71	-5	15	72	227	4	3	81
39  Oh My God	Adele	british soul	2021	2023‑04‑13	88	73	53	-4	3	55	225	9	5	81
40  Calling My Phone	Lil Tjay	brooklyn drill	2021	2023‑04‑13	105	39	91	-8	14	20	205	45	5	80
41  Summer of Love (Shawn Mendes & Tainy)	Shawn Mendes	canadian pop	2021	2023‑04‑13	124	81	78	-5	10	49	184	3	12	79
42  Better Days (NEIKED x Mae Muller x Polo G)	NEIKED	scandipop	2021	2023‑04‑13	110	67	72	-5	9	70	161	0	3	79
43  Boy With Luv (feat. Halsey)	BTS	k-pop	2019	2023‑04‑13	120	86	65	-5	19	80	230	9	8	79
44  One Right Now (with The Weeknd)	Post Malone	dfw rap	2021	2023‑04‑13	97	78	69	-5	8	69	194	4	5	79
45  Butter	BTS	k-pop	2021	2023‑04‑13	110	46	76	-5	8	70	165	0	9	79
46  ONLY	LeeHi	k-pop	2021	2023‑04‑13	123	30	54	-7	9	15	241	89	3	78
47  Life Goes On	BTS	k-pop	2020	2023‑04‑13	81	72	57	-6	37	45	207	1	4	78
48  Smokin Out The Window	Bruno Mars	dance pop	2021	2023‑04‑13	82	62	63	-9	35	85	197	6	4	78
49  Permission to Dance	BTS	k-pop	2021	2023‑04‑13	125	74	70	-5	34	65	188	1	4	78
50  WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)	Tyler, The Creator	hip hop	2021	2023‑04‑13	142	65	49	-6	51	85	122	27	5	77
51  How You Like That	BLACKPINK	k-pop	2020	2023‑04‑13	130	79	81	-4	5	33	181	5	8	77
52  Instant Crush (feat. Julian Casablancas)	Daft Punk	electro	2013	2023‑04‑13	110	59	78	-10	8	52	338	4	3	77
53  Off My Face	Justin Bieber	canadian pop	2021	2023‑04‑13	91	23	51	-9	10	59	156	92	3	77
54  LALISA	LISA	k-pop	2021	2023‑04‑13	150	65	80	-6	12	85	201	3	9	77
55  Let Somebody Go	Coldplay	permanent wave	2021	2023‑04‑13	131	34	59	-9	11	16	242	19	3	76
56  NDA	Billie Eilish	art pop	2021	2023‑04‑13	85	37	77	-10	11	55	196	34	7	76
57  Overpass Graffiti	Ed Sheeran	pop	2021	2023‑04‑13	176	85	52	-4	12	77	237	0	19	76
58  Lovesick Girls	BLACKPINK	k-pop	2020	2023‑04‑13	128	73	66	-5	13	41	193	1	7	76
59  Hold On	Justin Bieber	canadian pop	2021	2023‑04‑13	140	63	66	-6	12	30	171	1	4	76
60  The Feels	TWICE	k-pop	2021	2023‑04‑13	120	90	81	-2	8	92	198	9	7	76
61  MONTERO (Call Me By Your Name)	Lil Nas X	lgbtq+ hip hop	2021	2023‑04‑13	179	51	61	-7	38	76	138	30	15	76
62  Build a Bitch	Bella Poarch	modern alternative pop	2021	2023‑04‑13	103	46	86	-7	35	87	123	22	4	75
63  At My Worst	Pink Sweat$	bedroom soul	2021	2023‑04‑13	92	42	81	-6	13	67	170	78	3	75
64  Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)	David Guetta	big room	2014	2023‑04‑13	86	73	60	-4	33	53	193	24	15	75
65  We're Good	Dua Lipa	dance pop	2021	2023‑04‑13	134	59	72	-6	18	59	166	3	5	75
66  On The Ground	ROSÉ	k-pop	2021	2023‑04‑13	189	61	31	-7	13	29	168	2	11	75
67  LO$ER=LO♡ER	TOMORROW X TOGETHER	k-pop	2021	2023‑04‑13	125	87	64	-4	11	69	200	0	4	74
68  What’s Next	Drake	canadian hip hop	2021	2023‑04‑13	130	59	78	-7	16	6	178	1	5	74
69  WITHOUT YOU (with Miley Cyrus)	The Kid LAROI	australian hip hop	2021	2023‑04‑13	93	47	66	-6	10	47	161	17	3	74
70  eight(Prod.&Feat. SUGA of BTS)	IU	k-pop	2020	2023‑04‑13	120	87	68	-2	13	59	168	12	4	74
71  LOCO	ITZY	k-pop	2021	2023‑04‑13	102	89	76	-3	34	49	191	1	19	74
72  Rock with you	SEVENTEEN	k-pop	2021	2023‑04‑13	164	82	62	-5	13	69	180	10	10	74
73  0X1=LOVESONG (I Know I Love You) feat. Seori	TOMORROW X TOGETHER	k-pop	2021	2023‑04‑13	105	84	58	-5	7	48	202	6	8	74
74  Harder, Better, Faster, Stronger	Daft Punk	electro	2001	2023‑04‑13	123	72	82	-9	36	69	225	4	14	73
75  TSU	Drake	canadian hip hop	2021	2023‑04‑13	130	56	57	-9	39	25	309	23	42	73
76  VERY NICE	SEVENTEEN	k-pop	2016	2023‑04‑13	122	90	75	-3	9	88	192	5	7	73
77  Hurricane	Kanye West	chicago rap	2021	2023‑04‑13	80	56	59	-7	11	35	243	5	15	73
78  Can I Get It	Adele	british soul	2021	2023‑04‑13	98	68	70	-6	18	54	210	2	4	73
79  Next Level	aespa	k-pop	2021	2023‑04‑13	109	85	82	-3	9	82	222	49	17	73
80  LILAC	IU	k-pop	2021	2023‑04‑13	115	89	74	-2	21	75	214	9	7	73
81  Up	Cardi B	dance pop	2021	2023‑04‑13	166	80	87	-6	5	82	157	0	27	72
82  Yours	JIN	k-pop	2021	2023‑04‑13	72	43	49	-7	8	16	265	35	4	72
83  Savage	aespa	k-pop	2021	2023‑04‑13	147	88	73	-1	24	67	238	12	13	72
84  Love All (with JAY-Z)	Drake	canadian hip hop	2021	2023‑04‑13	92	58	73	-5	15	16	228	35	29	71
85  Something About Us	Daft Punk	electro	2001	2023‑04‑13	100	48	88	-13	5	38	233	44	10	71
86  Alcohol-Free	TWICE	k-pop	2021	2023‑04‑13	97	91	69	-2	7	70	211	5	6	71
87  After School	Weeekly	k-pop	2021	2023‑04‑13	164	93	63	-2	6	74	205	1	5	70
88  Best Friend (feat. Doja Cat)	Saweetie	cali rap	2021	2023‑04‑13	94	77	84	-4	7	40	156	0	14	70
89  In the morning	ITZY	k-pop	2021	2023‑04‑13	140	81	85	-5	13	72	172	8	15	70
90  i n t e r l u d e	J. Cole	conscious hip hop	2021	2023‑04‑13	99	57	77	-6	10	10	133	6	11	70
91  STEREOTYPE	STAYC	k-pop	2021	2023‑04‑13	148	81	61	-3	66	74	192	31	6	70
92  Film out	BTS	k-pop	2021	2023‑04‑13	164	71	50	-6	33	31	215	30	13	69
93  To you	SEVENTEEN	k-pop	2021	2023‑04‑13	100	80	57	-5	8	49	226	2	12	69
94  Blueming	IU	k-pop	2019	2023‑04‑13	106	67	82	-3	7	68	217	8	6	69
95  ASAP	STAYC	k-pop	2021	2023‑04‑13	132	80	76	-4	19	32	194	10	4	69
96  SCIENTIST	TWICE	k-pop	2021	2023‑04‑13	113	86	79	-4	13	65	195	5	7	69
97  Queendom	Red Velvet	k-pop	2021	2023‑04‑13	120	90	70	-1	6	51	182	18	8	69
98  N 2 Deep	Drake	canadian hip hop	2021	2023‑04‑13	91	43	51	-8	11	7	274	5	33	68
99  Pretty U	SEVENTEEN	k-pop	2016	2023‑04‑13	155	93	64	-3	8	88	207	2	16	68
100 blue	keshi	chill r&b	2020	2023‑04‑13	160	56	51	-9	10	22	179	7	3	68
101 Black Mamba	aespa	k-pop	2020	2023‑04‑13	90	92	52	-3	9	50	175	6	10	68
102 Solar Power	Lorde	art pop	2021	2023‑04‑13	88	48	73	-9	31	88	193	24	9	67
103 As I Am (feat. Khalid)	Justin Bieber	canadian pop	2021	2023‑04‑13	100	54	60	-8	10	11	174	13	4	67
104 Celebrity	IU	k-pop	2021	2023‑04‑13	100	78	73	-3	10	67	196	19	7	67
105 I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)	DJ Khaled	hip hop	2021	2023‑04‑13	124	72	76	-3	65	36	165	0	7	66
106 Believe What I Say	Kanye West	chicago rap	2021	2023‑04‑13	100	66	60	-8	47	42	242	15	25	66
107 Butter - Megan Thee Stallion Remix	BTS	k-pop	2021	2023‑04‑13	110	59	74	-5	11	77	164	0	14	66
108 Jail	Kanye West	chicago rap	2021	2023‑04‑13	110	57	46	-7	8	59	297	54	9	65
