sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop                                           
1   Sweater Weather	The Neighbourhood	modern alternative rock	2013	2023‑04‑13	124	81	61	-3	10	40	240	5	3	91                  
2   I Love You So	The Walters	chicago indie	2014	2023‑04‑13	76	65	57	-5	12	47	160	58	4	88                                    
3   Happier Than Ever	Billie Eilish	art pop	2021	2023‑04‑13	81	23	33	-9	13	30	299	77	3	87                                    
4   Dark Red	Steve Lacy	afrofuturism	2017	2023‑04‑13	172	78	60	-4	12	77	173	45	6	87                                          
5   traitor	Olivia Rodrigo	pop	2021	2023‑04‑13	101	34	38	-8	12	8	229	69	3	86                                                 
6   Freaks	Surf Curse	dreamo	2021	2023‑04‑13	180	94	35	-10	5	41	147	0	5	86                                                   
7   Yonaguni	Bad Bunny	reggaeton	2021	2023‑04‑13	180	65	64	-5	14	44	207	28	12	85                                             
8   abcdefu	GAYLE	modern alternative pop	2021	2023‑04‑13	122	54	70	-6	37	42	169	30	5	84                                      
9   Pepas	Farruko	reggaeton	2021	2023‑04‑13	130	77	76	-4	13	44	287	1	3	84                                                    
10  favorite crime	Olivia Rodrigo	pop	2021	2023‑04‑13	173	27	37	-10	15	22	153	87	4	84                                        
11  Knife Talk (with 21 Savage ft. Project Pat)	Drake	canadian hip hop	2021	2023‑04‑13	146	42	85	-10	8	15	243	6	32	83        
12  Wants and Needs (feat. Lil Baby)	Drake	canadian hip hop	2021	2023‑04‑13	136	45	58	-6	12	10	193	6	29	83                   
13  Don't Stop Me Now - Remastered 2011	Queen	classic rock	1978	2023‑04‑13	156	87	56	-5	78	61	209	5	17	83                    
14  You Belong With Me (Taylor’s Version)	Taylor Swift	pop	2021	2023‑04‑13	130	77	63	-5	9	47	231	6	3	83                      
15  I Gotta Feeling	Black Eyed Peas	dance pop	2009	2023‑04‑13	128	77	74	-6	51	61	289	9	3	83                                  
16  family ties (with Kendrick Lamar)	Baby Keem	rap	2021	2023‑04‑13	134	61	71	-5	23	14	252	1	33	82                           
17  2055	Sleepy Hallow	brooklyn drill	2021	2023‑04‑13	81	51	83	-6	12	64	124	49	19	82                                         
18  You Right	Doja Cat	dance pop	2021	2023‑04‑13	129	62	83	-6	8	44	186	2	6	82                                                
19  I Wanna Dance with Somebody (Who Loves Me)	Whitney Houston	dance pop	1987	2023‑04‑13	119	82	71	-9	9	87	291	21	5	82       
20  Mood (feat. iann dior)	24kGoldn	cali rap	2021	2023‑04‑13	91	72	70	-4	32	73	141	17	4	82                                   
21  RAPSTAR	Polo G	chicago rap	2021	2023‑04‑13	81	54	79	-7	13	44	166	41	24	81                                                
22  Jugaste y Sufrí	Eslabon Armado	corrido	2020	2023‑04‑13	200	50	39	-8	12	34	275	63	4	81                                    
23  DÁKITI	Bad Bunny	reggaeton	2020	2023‑04‑13	110	57	73	-10	11	14	205	40	5	80                                               
24  Tell Em	Cochise	plugg	2021	2023‑04‑13	158	72	67	-7	40	47	180	10	23	80                                                    
25  Ain't Shit	Doja Cat	dance pop	2021	2023‑04‑13	124	49	86	-5	35	62	174	51	21	79                                            
26  Get Into It (Yuh)	Doja Cat	dance pop	2021	2023‑04‑13	92	66	91	-6	9	79	138	32	16	79                                       
27  WITHOUT YOU	The Kid LAROI	australian hip hop	2020	2023‑04‑13	93	41	66	-7	13	47	161	21	3	79                               
28  Way 2 Sexy (with Future & Young Thug)	Drake	canadian hip hop	2021	2023‑04‑13	136	60	80	-6	32	33	258	0	14	78              
29  Meet Me At Our Spot	THE ANXIETY	modern alternative pop	2020	2023‑04‑13	95	47	77	-8	9	40	163	2	3	78                       
30  Todo De Ti	Rauw Alejandro	puerto rican pop	2021	2023‑04‑13	128	72	78	-4	9	34	200	30	5	78                                 
31  On Me	Lil Baby	atl hip hop	2020	2023‑04‑13	78	56	86	-6	13	48	136	0	39	78                                                 
32  We Don't Talk About Bruno	Carolina Gaitán - La Gaita	movie tunes	2021	2023‑04‑13	206	45	58	-9	11	83	216	36	8	77          
33  Red (Taylor's Version)	Taylor Swift	pop	2021	2023‑04‑13	125	78	52	-5	8	41	223	0	4	77                                     
34  Fearless (Taylor’s Version)	Taylor Swift	pop	2021	2023‑04‑13	100	74	57	-5	33	43	242	1	3	77                               
35  Praise God	Kanye West	chicago rap	2021	2023‑04‑13	118	55	80	-6	26	21	227	1	17	77                                         
36  enough for you	Olivia Rodrigo	pop	2021	2023‑04‑13	88	26	64	-11	22	27	203	75	9	77                                         
37  Girls Want Girls (with Lil Baby)	Drake	canadian hip hop	2021	2023‑04‑13	87	44	77	-9	14	38	222	18	29	77                   
38  my ex's best friend (with blackbear)	Machine Gun Kelly	ohio hip hop	2020	2023‑04‑13	125	68	73	-5	14	30	139	0	4	77        
39  Surface Pressure	Jessica Darrow	movie tunes	2021	2023‑04‑13	180	58	65	-8	4	37	202	2	31	76                                
40  Fancy Like	Walker Hayes	contemporary country	2021	2023‑04‑13	80	77	65	-6	32	86	162	11	6	76                               
41  Everybody (Backstreet's Back) - Radio Edit	Backstreet Boys	boy band	1997	2023‑04‑13	108	85	73	-4	27	61	225	4	4	76        
42  Champagne Poetry	Drake	canadian hip hop	2021	2023‑04‑13	87	67	42	-7	25	50	337	76	33	76                                   
43  Super Gremlin	Kodak Black	florida drill	2021	2023‑04‑13	73	41	83	-7	36	11	201	0	14	75                                    
44  Miss The Rage (feat. Playboi Carti)	Trippie Redd	melodic rap	2021	2023‑04‑13	77	86	58	-6	85	37	237	1	12	75               
45  No Church In The Wild	JAY-Z	east coast hip hop	2011	2023‑04‑13	93	75	65	-8	17	56	273	25	11	75                            
46  I Hate U	SZA	pop	2021	2023‑04‑13	107	39	54	-10	11	41	174	51	16	74                                                        
47  Born in the U.S.A.	Bruce Springsteen	heartland rock	1984	2023‑04‑13	122	95	40	-6	10	58	279	0	6	74                        
48  Already Dead	Juice WRLD	chicago rap	2021	2023‑04‑13	84	50	74	-6	11	13	231	2	6	74                                         
49  Anyone	Justin Bieber	canadian pop	2021	2023‑04‑13	116	54	69	-8	11	58	191	18	3	74                                         
50  Doomsday	MF DOOM	alternative hip hop	1999	2023‑04‑13	95	84	86	-8	8	79	298	10	33	74                                       
51  X Gon' Give It To Ya	DMX	east coast hip hop	2007	2023‑04‑13	95	90	76	-3	7	67	218	1	18	74                                 
52  Moon	Kanye West	chicago rap	2021	2023‑04‑13	162	24	32	-10	27	25	156	90	3	74                                              
53  ESCAPE PLAN	Travis Scott	hip hop	2021	2023‑04‑13	154	51	84	-7	13	44	150	0	13	74                                          
54  Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)	Taylor Swift	pop	2021	2023‑04‑13	102	38	61	-9	15	
55  Broadway Girls (feat. Morgan Wallen)	Lil Durk	chicago drill	2021	2023‑04‑13	75	75	66	-4	30	54	186	4	3	73                 
56  Whoopty	CJ	nyc rap	2020	2023‑04‑13	140	65	72	-8	13	66	123	20	13	73                                                       
57  I'm Shipping Up To Boston	Dropkick Murphys	boston punk	2005	2023‑04‑13	129	93	45	-3	23	60	154	0	8	73                     
58  Solid (feat. Drake)	Young Stoner Life	atl hip hop	2021	2023‑04‑13	126	49	89	-9	14	33	216	4	20	73                         
59  Last Christmas	Wham!	new romantic	1984	2023‑04‑13	108	48	74	-12	36	95	263	19	3	72                                        
60  All I Want for Christmas Is You	Mariah Carey	dance pop	1994	2023‑04‑13	150	63	34	-7	7	35	241	16	4	71                     
61  Flower Shops (feat. Morgan Wallen)	ERNEST	contemporary country	2021	2023‑04‑13	128	46	53	-6	8	23	214	12	3	71             
62  Burn	Juice WRLD	chicago rap	2021	2023‑04‑13	115	48	35	-9	21	4	217	15	4	71                                                
63  Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)	Taylor Swift	pop	2021	2023‑04‑13	125	49	61	-7	31	44	240	82	3	7
64  Bad Man (Smooth Criminal)	Polo G	chicago rap	2021	2023‑04‑13	120	66	88	-6	11	57	106	1	24	71                              
65  Oxytocin	Billie Eilish	art pop	2021	2023‑04‑13	125	60	76	-8	15	18	210	9	6	71                                             
66  We Are Never Ever Getting Back Together (Taylor's Version)	Taylor Swift	pop	2021	2023‑04‑13	172	69	57	-6	7	72	193	3	18	71
67  Forever & Always (Taylor’s Version)	Taylor Swift	pop	2021	2023‑04‑13	128	82	60	-4	14	67	225	2	4	71                       
68  Ruff Ryders' Anthem	DMX	east coast hip hop	1998	2023‑04‑13	91	58	88	-8	20	74	214	6	30	71                                 
69  Wandered To LA (with Justin Bieber)	Juice WRLD	chicago rap	2021	2023‑04‑13	135	64	69	-5	11	42	189	5	4	70                 
70  Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)	Nardo Wick	florida drill	2021	2023‑04‑13	76	74	74	-6	16	49	280	0	3
71  Thot Shit	Megan Thee Stallion	houston rap	2021	2023‑04‑13	130	69	95	-3	17	89	185	1	9	70                                  
72  Fifteen (Taylor’s Version)	Taylor Swift	pop	2021	2023‑04‑13	95	65	56	-5	32	29	294	12	3	70                                
73  GOLDWING	Billie Eilish	art pop	2021	2023‑04‑13	160	30	65	-14	10	17	152	76	13	70                                          
74  Rumors (feat. Cardi B)	Lizzo	escape room	2021	2023‑04‑13	119	73	83	-6	42	61	173	13	9	70                                  
75  Hey Stephen (Taylor’s Version)	Taylor Swift	pop	2021	2023‑04‑13	116	57	79	-6	9	80	254	11	3	69                            
76  22 (Taylor's Version)	Taylor Swift	pop	2021	2023‑04‑13	104	70	64	-6	8	64	231	0	3	69                                      
77  Santa Tell Me	Ariana Grande	pop	2014	2023‑04‑13	192	62	53	-7	29	59	204	5	12	68                                           
78  To Be Loved	Adele	british soul	2021	2023‑04‑13	170	18	36	-8	23	29	404	84	4	68                                            
79  LUMBERJACK	Tyler, The Creator	hip hop	2021	2023‑04‑13	171	76	39	-6	53	43	138	12	56	68                                    
