sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop
1   No Role Modelz	J. Cole	conscious hip hop	2014	2023‑04‑14	100	52	69	-8	5	49	293	32	34	90
2   Ghost	Justin Bieber	canadian pop	2021	2023‑04‑14	154	74	60	-6	42	44	153	19	5	88
3   happier	Olivia Rodrigo	pop	2021	2023‑04‑14	169	44	40	-10	8	34	176	77	13	84
4   telepatía	Kali Uchis	colombian pop	2020	2023‑04‑14	84	52	65	-9	20	55	160	11	5	84
5   jealousy, jealousy	Olivia Rodrigo	pop	2021	2023‑04‑14	164	57	70	-6	6	70	173	20	12	83
6   Moth To A Flame (with The Weeknd)	Swedish House Mafia	edm	2021	2023‑04‑14	120	66	55	-7	11	11	234	0	4	83
7   Streets	Doja Cat	dance pop	2019	2023‑04‑14	90	46	75	-8	34	19	227	21	8	83
8   The Way I Loved You (Taylor’s Version)	Taylor Swift	pop	2021	2023‑04‑14	161	73	40	-5	11	47	243	0	5	82
9   Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	dfw rap	2019	2023‑04‑14	90	52	76	-4	7	93	158	53	6	82
10  Martin & Gina	Polo G	chicago rap	2020	2023‑04‑14	94	53	83	-8	17	12	133	35	25	82
11  love nwantiti (ah ah ah)	CKay	afro r&b	2019	2023‑04‑14	93	74	73	-4	16	53	146	37	4	82
12  Goosebumps - Remix	Travis Scott	hip hop	2021	2023‑04‑14	125	59	84	-8	12	81	163	42	4	80
13  34+35	Ariana Grande	pop	2020	2023‑04‑14	110	59	83	-6	25	49	174	24	9	80
14  Yebba’s Heartbreak	Drake	canadian hip hop	2021	2023‑04‑14	120	16	48	-12	11	9	134	97	4	79
15  I Like It	Cardi B	dance pop	2018	2023‑04‑14	136	73	82	-4	37	65	253	10	13	79
16  brutal	Olivia Rodrigo	pop	2021	2023‑04‑14	124	53	67	-6	28	28	144	3	6	79
17  Permission to Dance	BTS	k-pop	2021	2023‑04‑14	125	74	70	-5	34	65	188	1	4	78
18  1 step forward, 3 steps back	Olivia Rodrigo	pop	2021	2023‑04‑14	169	20	47	-13	13	42	164	94	10	78
19  EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)	DJ Khaled	hip hop	2021	2023‑04‑14	150	73	48	-4	11	23	237	0	29	77
20  Motley Crew	Post Malone	dfw rap	2021	2023‑04‑14	130	63	80	-4	10	29	184	9	8	76
21  I Drink Wine	Adele	british soul	2021	2023‑04‑14	115	56	44	-6	12	31	376	70	5	76
22  Billie Bossa Nova	Billie Eilish	art pop	2021	2023‑04‑14	110	39	90	-11	11	55	197	22	11	76
23  Your Power	Billie Eilish	art pop	2021	2023‑04‑14	130	28	63	-14	23	21	246	93	8	76
24  a m a r i	J. Cole	conscious hip hop	2021	2023‑04‑14	66	71	73	-6	62	21	148	13	19	75
25  We're Good	Dua Lipa	dance pop	2021	2023‑04‑14	134	59	72	-6	18	59	166	3	5	75
26  Build a Bitch	Bella Poarch	modern alternative pop	2021	2023‑04‑14	103	46	86	-7	35	87	123	22	4	75
27  I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)	Taylor Swift	pop	2021	2023‑04‑14	150	72	39	-5	18	47	285	17	5	75
28  Tell It To My Heart	MEDUZA	pop dance	2021	2023‑04‑14	124	72	54	-7	61	49	166	3	6	75
29  Therefore I Am	Billie Eilish	art pop	2020	2023‑04‑14	94	34	89	-8	6	72	174	22	7	75
30  What’s Next	Drake	canadian hip hop	2021	2023‑04‑14	130	59	78	-7	16	6	178	1	5	74
31  hope ur ok	Olivia Rodrigo	pop	2021	2023‑04‑14	77	30	44	-12	10	17	210	39	6	74
32  No Friends In The Industry	Drake	canadian hip hop	2021	2023‑04‑14	84	74	84	-5	63	17	204	2	11	74
33  Fiel	Los Legendarios	reggaeton	2021	2023‑04‑14	98	70	85	-4	11	51	262	41	6	73
34  Mr. Perfectly Fine (Taylor’s Version) (From The Vault)	Taylor Swift	pop	2021	2023‑04‑14	136	82	66	-6	7	71	278	16	5	73
35  I Knew You Were Trouble (Taylor's Version)	Taylor Swift	pop	2021	2023‑04‑14	154	56	58	-6	6	77	220	1	3	73
36  TSU	Drake	canadian hip hop	2021	2023‑04‑14	130	56	57	-9	39	25	309	23	42	73
37  Hurricane	Kanye West	chicago rap	2021	2023‑04‑14	80	56	59	-7	11	35	243	5	15	73
38  Have Mercy	Chlöe		2021	2023‑04‑14	130	54	90	-6	35	51	149	30	7	72
39  Getting Older	Billie Eilish	art pop	2021	2023‑04‑14	160	13	60	-17	12	37	244	97	11	72
40  Party Up	DMX	east coast hip hop	1999	2023‑04‑14	202	93	51	-3	50	53	269	7	35	72
41  Body	Megan Thee Stallion	houston rap	2020	2023‑04‑14	94	73	91	-6	11	47	171	2	24	71
42  Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage	Skylar Grey	piano rock	2021	2023‑04‑14	155	69	66	-4	8	23	257	24	13	71
43  Pipe Down	Drake	canadian hip hop	2021	2023‑04‑14	78	69	52	-6	18	59	206	13	11	71
44  Get Along Better	Drake	canadian hip hop	2021	2023‑04‑14	178	47	32	-7	13	34	229	1	4	71
45  Love All (with JAY-Z)	Drake	canadian hip hop	2021	2023‑04‑14	92	58	73	-5	15	16	228	35	29	71
46  Tombstone	Rod Wave	florida rap	2021	2023‑04‑14	84	64	55	-5	13	54	160	60	16	70
47  JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)	Tyler, The Creator	hip hop	2021	2023‑04‑14	142	57	83	-8	17	62	146	2	37	70
48  White Horse (Taylor’s Version)	Taylor Swift	pop	2021	2023‑04‑14	185	52	42	-7	18	37	235	37	5	70
