	sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	mellow	unpretenious	sophisticated	intense	contemperory
0	1   STAY (with Justin Bieber)	The Kid LAROI	australian hip hop	2021	2023‑04‑13	81.64251207729468	76.0	49.31506849315068	78.26086956521739	8.695652173913043	48.958333333333336	142.0	4.040404040404041	5.0	87.0	-46.738337815318154	-5.893819260201781	56.518189639094935	87.2284206718766	9.99732152525854
1	2   Cold Heart - PNAU Remix	Elton John	glam rock	2021	2023‑04‑13	55.55555555555556	80.0	78.08219178082192	73.91304347826087	8.695652173913043	96.875	203.0	3.0303030303030303	3.0	86.0	-10.2503278767424	-6.166267160888216	87.44724192490722	61.92054516276523	9.536640037961511
2	3   drivers license	Olivia Rodrigo	pop	2021	2023‑04‑13	69.08212560386474	43.0	45.205479452054796	60.869565217391305	9.782608695652174	13.541666666666666	242.0	77.77777777777777	6.0	86.0	-50.93395539673086	-32.37613534842168	61.07243067963735	92.46378879624115	14.331217738733375
3	4   good 4 u	Olivia Rodrigo	pop	2021	2023‑04‑13	80.19323671497584	66.0	45.205479452054796	78.26086956521739	6.521739130434782	70.83333333333333	178.0	34.343434343434346	15.0	86.0	-30.87620396941422	-10.82981617846121	71.01072668315075	72.88838804964476	8.689707527929688
4	5   Yonaguni	Bad Bunny	reggaeton	2021	2023‑04‑13	86.47342995169082	65.0	56.16438356164384	78.26086956521739	13.043478260869565	44.791666666666664	207.0	28.282828282828284	12.0	85.0	-52.73374754092443	-15.811550022259524	64.7930345744521	98.89694781345317	13.157368240174225
5	6   Beggin'	Måneskin	indie rock italiano	2017	2023‑04‑13	64.2512077294686	80.0	65.75342465753425	78.26086956521739	36.95652173913044	60.416666666666664	212.0	13.131313131313131	5.0	85.0	-47.47969269827519	-26.192774604291877	66.62445780015763	101.0719997774048	13.222960320898085
6	7   Pepas	Farruko	reggaeton	2021	2023‑04‑13	62.31884057971015	77.0	72.6027397260274	82.6086956521739	11.956521739130435	44.791666666666664	287.0	1.0101010101010102	3.0	84.0	-46.66043400051738	-15.087929059805917	68.42740989405671	97.74994171915702	12.711221243104061
7	8   telepatía	Kali Uchis	colombian pop	2020	2023‑04‑13	40.09661835748792	52.0	57.534246575342465	60.869565217391305	19.565217391304348	56.25	160.0	11.11111111111111	5.0	84.0	-23.840844417973653	-17.7318468334326	61.150155515849384	66.68151512143471	9.234626265634308
8	9   Easy On Me	Adele	british soul	2021	2023‑04‑13	68.1159420289855	37.0	50.68493150684932	65.21739130434783	11.956521739130435	12.5	225.0	58.58585858585859	3.0	84.0	-55.33807852196773	-29.572103554905823	58.64891620192395	98.57288038214185	14.534148061917566
9	10  Peaches (feat. Daniel Caesar & Giveon)	Justin Bieber	canadian pop	2021	2023‑04‑13	42.99516908212561	70.0	61.64383561643836	73.91304347826087	43.47826086956522	46.875	198.0	32.323232323232325			-45.92432213739539	-40.39779326168174	64.74984508575933	100.13716039188793	13.191614439511254
10	11  Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)	Tainy	pop reggaeton	2021	2023‑04‑13	81.64251207729468	70.0	56.16438356164384	73.91304347826087	7.608695652173913	13.541666666666666	20.0								
11	12  INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	lgbtq+ hip hop	2021	2023‑04‑13	71.98067632850241	70.0	69.86301369863014	69.56521739130434	3.260869565217391	91.66666666666667	212.0	2.0202020202020203	6.0	83.0	-15.169670198109731	1.6223807461151125	79.99336124797709	61.01987715150312	9.47322089266699
12	13  Enemy (with JID) - from the series Arcane League of Legends	Imagine Dragons	modern rock	2021	2023‑04‑13	36.71497584541063														
13	14  Desesperados	Rauw Alejandro	puerto rican pop	2021	2023‑04‑13	42.99516908212561	69.0	87.67123287671232	86.95652173913044	7.608695652173913	52.083333333333336	225.0	36.36363636363637	8.0	82.0	-33.76647505429518	-29.905995256315386	92.83619699075328	94.95401829492062	14.152435236823266
14	15  Tiago PZK: Bzrp Music Sessions, Vol. 48	Bizarrap	argentine hip hop	2021	2023‑04‑13	46.3768115942029	82.0	58.9041095890411	86.95652173913044	8.695652173913043	77.08333333333333	160.0	4.040404040404041			-20.183228954223594	-12.74918745224731	75.41680654068982	67.84583100209963	6.576582907695177
15	16  LA NOCHE DE ANOCHE	Bad Bunny	reggaeton	2020	2023‑04‑13	39.130434782608695	62.0	86.3013698630137	78.26086956521739	7.608695652173913	39.583333333333336	203.0	3.0303030303030303	29.0	81.0	-37.31627321457577	-19.88634897215153	76.03287490750267	92.21636029743534	13.412916012417204
16	17  Volví	Aventura	bachata	2021	2023‑04‑13	84.54106280193237	86.0	68.4931506849315	82.6086956521739	5.434782608695652	81.25	230.0	42.42424242424242	18.0	80.0	-30.211343632874286	-13.986184432171624	90.21946384632506	82.92621344475126	12.373112076693078
17	18  Volando - Remix	Mora	trap latino	2021	2023‑04‑13	73.91304347826087	69.0	58.9041095890411	78.26086956521739	9.782608695652174	64.58333333333333	273.0	21.21212121212121	7.0	80.0	-35.37174454491309	-12.150318326204271	72.05382893858176	81.89644584619273	10.689176232245025
18	19  Sobrio	Maluma	latin pop	2021	2023‑04‑13	85.5072463768116	77.0	72.6027397260274	86.95652173913044	14.130434782608695	64.58333333333333	201.0	14.141414141414142	22.0	80.0	-47.5654625468503	-13.262349898628939	77.77260093489991	101.44364505688212	13.7496078263276
19	20  Tiroteo - Remix	Marc Seguí	spanish pop	2021	2023‑04‑13	52.65700483091788	52.0	71.23287671232876	69.56521739130434	5.434782608695652	61.458333333333336	322.0	28.282828282828284	3.0	80.0	-23.636450869625374	-16.49565431714404	79.80590599262428	72.82881863603274	11.49920531250564
20	21  DÁKITI	Bad Bunny	reggaeton	2020	2023‑04‑13	52.65700483091788	57.0	68.4931506849315	56.52173913043478	9.782608695652174	13.541666666666666	205.0	40.4040404040404	5.0	80.0	-46.64931025562353	-25.835012385619144	62.17862063156881	92.48915261910349	15.611597474145867
21	22  TE MUDASTE	Bad Bunny	reggaeton	2020	2023‑04‑13	43.96135265700483	64.0	79.45205479452055	78.26086956521739	10.869565217391305	47.916666666666664	130.0	23.232323232323232	6.0	80.0	-34.49598426191637	-24.647966036180748	80.07445509291847	89.50314716552062	13.120622920689927
22	23  Cúrame	Rauw Alejandro	puerto rican pop	2021	2023‑04‑13	48.792270531400966	63.0	73.97260273972603	82.6086956521739	9.782608695652174	26.041666666666668	165.0	58.58585858585859	5.0	79.0	-47.59416680202862	-37.83196598955607	81.85128533699113	104.44428614615481	15.303589611120135
23	24  Nostálgico	Rvssian	reggaeton	2021	2023‑04‑13	46.85990338164251	85.0	68.4931506849315	86.95652173913044	23.91304347826087	61.458333333333336	210.0	17.171717171717173	5.0	79.0	-36.691361199848394	-27.41650667635257	76.05674974882837	91.88007268937137	11.081761066592067
24	25  Hawái	Maluma	latin pop	2020	2023‑04‑13	86.47342995169082	73.0	75.34246575342466	86.95652173913044	4.3478260869565215	57.291666666666664	199.0	19.19191919191919	39.0	79.0	-47.5152733409136	-11.314913766912724	80.49101497404058	100.91574958940208	14.222484110010168
25	26  Eladio Carrion: Bzrp Music Sessions, Vol. 40	Bizarrap	argentine hip hop	2021	2023‑04‑13	56.03864734299517	52.0	75.34246575342466	73.91304347826087	27.17391304347826	86.45833333333333									
26	27  Butter	BTS	k-pop	2021	2023‑04‑13	52.65700483091788	46.0	72.6027397260274	78.26086956521739	6.521739130434782	71.875	165.0	0.0	9.0	79.0	-23.183161273244643	-9.0987711766263	77.48911389054331	72.74351879425585	9.697689183376351
27	28  Miénteme	TINI	latin pop	2021	2023‑04‑13	43.96135265700483	54.0	84.93150684931507	78.26086956521739	29.347826086956523	94.79166666666667	165.0	16.161616161616163	7.0	78.0	-17.887041950174755	-24.897101787680263	91.7921351694431	78.7176954927476	11.96631235674193
