	sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	mellow	unpretenious	sophisticated	intense	contemperory
0	1   Perfect	Ed Sheeran	pop	2017	2023‑04‑13	45.410628019323674	45	50.68493150684932	73.91304347826087	9.782608695652174	16.666666666666668	263	16.161616161616163	2	89	-47.645280981344115	-22.008148789864098	51.67043574518263	89.02292429957707	10.294303968812606
1	2   lovely (with Khalid)	Billie Eilish	art pop	2018	2023‑04‑13	55.072463768115945	30	16.438356164383563	56.52173913043478	8.695652173913043	11.458333333333334	200	93.93939393939394	3	89	-39.94095962604003	-35.964304487700105	50.05356723879654	71.05701784070605	9.155810073636905
2	3   Believer	Imagine Dragons	modern rock	2017	2023‑04‑13	59.90338164251208	78	75.34246575342466	82.6086956521739	6.521739130434782	68.75	204	6.0606060606060606	13	89	-29.699616775257027	-11.283910802485845	80.42601716991234	81.83013803911659	11.073892212776968
3	4   Closer	The Chainsmokers	dance pop	2016	2023‑04‑13	45.410628019323674	52	71.23287671232876	73.91304347826087	9.782608695652174	67.70833333333333	245	41.41414141414141	3	85	-20.059595357987266	-24.440455590749664	86.46993761317763	72.79154371288826	11.224638997178456
4	5   Let Me Down Slowly	Alec Benjamin	alt z	2018	2023‑04‑13	71.98067632850241	56	57.534246575342465	73.91304347826087	10.869565217391305	48.958333333333336	169	74.74747474747475	3	85	-39.32206971441634	-30.755768111429965	81.11062982414978	89.48199272354276	13.754265593697546
5	6   positions	Ariana Grande	pop	2020	2023‑04‑13	69.08212560386474	80	69.86301369863014	78.26086956521739	7.608695652173913	69.79166666666667	172	47.474747474747474	9	84	-29.24839220074477	-20.73528559117079	88.22392778289148	82.35148123582458	12.677725174616928
6	7   No Lie	Sean Paul	dance pop	2018	2023‑04‑13	48.792270531400966	88	69.86301369863014	86.95652173913044	20.652173913043477	46.875	221	5.05050505050505	12	83	-44.91308258282648	-24.006777686032446	69.06187244692309	98.46034157838058	11.74434243416897
7	8   Levitating	Dua Lipa	dance pop	2020	2023‑04‑13	49.27536231884058	88	64.38356164383562	91.30434782608695	20.652173913043477	93.75	204	6.0606060606060606	8	83	-19.869741187936526	-17.71007386250835	82.60088977926978	73.49409145053873	7.480202185644413
8	9   Stereo Hearts (feat. Adam Levine)	Gym Class Heroes	dance pop	2011	2023‑04‑13	42.99516908212561	80	57.534246575342465	86.95652173913044	27.17391304347826	82.29166666666667	211	3.0303030303030303	10	82	-24.39705873505753	-21.117647777657453	72.22591309160696	75.1207718188436	7.146448290228069
9	10  Señorita	Shawn Mendes	canadian pop	2019	2023‑04‑13	56.03864734299517	55	72.6027397260274	73.91304347826087	6.521739130434782	77.08333333333333	191	4.040404040404041	3	82	-19.86640677170754	-7.695650293885853	78.95727375000753	68.73690373057556	9.895688195234058
10	11  Tu Aake Dekhle	King	desi pop	2020	2023‑04‑13	45.893719806763286	84	73.97260273972603	82.6086956521739	13.043478260869565	18.75	270	52.525252525252526	11	82	-52.26676232245022	-39.24982666149283	77.18527743185278	109.04252395906654	15.600567542608935
11	12  m y . l i f e (with 21 Savage & Morray)	J. Cole	conscious hip hop	2021	2023‑04‑13	67.14975845410628	59	50.68493150684932	69.56521739130434	20.652173913043477	7.291666666666667	219	6.0606060606060606	14	80	-66.20467931248159	-19.587433484637923	40.55317619314047	106.88472162061352	13.285643999554809
12	13  Play Date	Melanie Martinez	alt z	2015	2023‑04‑13	59.42028985507246	73	61.64383561643836	78.26086956521739	21.73913043478261	45.833333333333336	180	61.61616161616162	5	80	-43.54059354714505	-36.71697694635455	78.01115382532893	97.33338898213825	13.880692722339537
13	14  Dusk Till Dawn (feat. Sia) - Radio Edit	ZAYN	dance pop	2018	2023‑04‑13	86.47342995169082	44	4.109589041095891	69.56521739130434	9.782608695652174	9.375	239	10.1010101010101	4	80	-62.91318786434927	-5.935572032113871	18.78567990807419	83.88861628494594	6.059947111075014
14	15  Runaway	AURORA	art pop	2016	2023‑04‑13	54.589371980676326	30	26.027397260273972	60.869565217391305	8.695652173913043	11.458333333333334	249	63.63636363636363	4	79	-43.955350106183936	-28.861874590154073	47.2525793973084	76.82503752534278	9.404743722213198
15	16  SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)	Amaarae	afro r&b	2021	2023‑04‑13	52.65700483091788	52	87.67123287671232	65.21739130434783	9.782608695652174	32.291666666666664	205	43.43434343434343	6	79	-41.41173197129124	-28.332364931326367	81.59992118926009	97.47814543589558	17.41971400274334
16	17  We Rollin	Shubh	punjabi hip hop	2021	2023‑04‑13	40.57971014492754	50	80.82191780821918	60.869565217391305	8.695652173913043	28.125	199	26.262626262626263	14	78	-36.49394631243946	-23.885538868434196	71.3955637374339	87.06170437249204	14.937423106887818
17	18  love nwantiti (feat. Dj Yo! & AX'EL) - Remix	CKay	afro r&b	2021	2023‑04‑13	57.48792270531401	60	47.945205479452056	78.26086956521739	3.260869565217391	44.791666666666664	188	44.44444444444444	6	78	-33.95996294090398	-21.59870086360929	69.46651445966513	77.33705165111509	9.305123337303952
18	"19  Ranjha (From ""Shershaah"")"	Jasleen Royal	desi pop	2021	2023‑04‑13	39.61352657004831	57	50.68493150684932	73.91304347826087	8.695652173913043	23.958333333333332	229	48.484848484848484	5	78	-38.94216284344337	-31.68822399847192	64.34566631171754	83.60738301718797	10.52609195739407
19	"20  Raataan Lambiyan (From ""Shershaah"")"	Tanishk Bagchi	desi pop	2021	2023‑04‑13	38.64734299516908	63	67.12328767123287	73.91304347826087	9.782608695652174	52.083333333333336	230	62.62626262626262	4	78	-24.388721942474174	-34.3958310773007	86.128921736724	77.50300428345396	11.927180906744635
20	21  295	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	43.47826086956522	79	45.205479452054796	73.91304347826087	9.782608695652174	43.75	270	18.181818181818183	20	77	-30.94394661324381	-18.394292463046188	58.17431912935189	71.02173236233689	7.393182494991609
21	22  Harleys In Hawaii	Katy Perry	dance pop	2020	2023‑04‑13	67.14975845410628	75	67.12328767123287	73.91304347826087	10.869565217391305	76.04166666666667	185	16.161616161616163	13	77	-26.062195811600212	-10.649248402728901	77.62189494708852	74.64565360273369	10.75866147327955
22	"23  Dil Ko Karaar Aaya (From ""Sukoon"")"	Yasser Desai	desi pop	2020	2023‑04‑13	71.01449275362319	45	43.83561643835616	60.869565217391305	9.782608695652174	39.583333333333336	231	78.78787878787878	4	77	-36.980349955781755	-28.20721095709928	68.8475012182576	78.57283150143483	12.470417772122659
23	24  TERE TE	AP Dhillon	desi pop	2021	2023‑04‑13	82.6086956521739	49	63.013698630136986	52.17391304347826	14.130434782608695	30.208333333333332	114	5.05050505050505	14	77	-51.75144536490574	-6.139826458449898	49.77473062970383	91.40369410303148	14.973678679288419
24	25  Your Power	Billie Eilish	art pop	2021	2023‑04‑13	62.31884057971015	28	54.794520547945204	39.130434782608695	22.82608695652174	20.833333333333332	246	93.93939393939394	8	76	-42.058688432869495	-39.44389923655856	65.07074015918566	85.95570505531792	17.251992076813394
