	sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	mellow	unpretenious	sophisticated	intense	contemperory
0	1   Blinding Lights	The Weeknd	canadian contemporary r&b	2020	2023‑04‑13	82.1256038647343	73	38.35616438356164	73.91304347826087	7.608695652173913	33.333333333333336	200	0.0	6	92	-52.52956455562173	-4.02111044934154	43.52925021507511	86.792105089008	9.148567268876976
1	2   Watermelon Sugar	Harry Styles	pop	2019	2023‑04‑13	45.410628019323674	82	43.83561643835616	82.6086956521739	34.78260869565217	57.291666666666664	174	12.121212121212121	5	89	-39.398224351917015	-28.169318445021986	56.676003633716554	85.59245710529957	7.863684680335217
2	3   Save Your Tears	The Weeknd	canadian contemporary r&b	2020	2023‑04‑13	56.52173913043478	83	61.64383561643836	78.26086956521739	56.52173913043478	65.625	216	2.0202020202020203	3	89	-50.53850746897203	-32.60681280494042	59.01642391755554	105.43420694436927	12.662162309515645
3	4   Ghost	Justin Bieber	canadian pop	2021	2023‑04‑13	73.91304347826087	74	50.68493150684932	73.91304347826087	43.47826086956522	44.791666666666664	153	19.19191919191919	5	88	-59.836760998911096	-28.632174371770112	52.171314093887055	107.91206022403907	13.422611500652746
4	5   Circles	Post Malone	dfw rap	2019	2023‑04‑13	57.48792270531401	76	64.38356164383562	86.95652173913044	7.608695652173913	56.25	215	19.19191919191919	4	87	-35.96196780190229	-18.207713300365175	75.6610566655236	86.37650251773242	10.374416063553944
5	6   Woman	Doja Cat	dance pop	2021	2023‑04‑13	51.690821256038646	76	80.82191780821918	82.6086956521739	10.869565217391305	90.625	173	9.090909090909092	9	87	-16.412918644455267	-13.438514274670473	90.85757515596707	72.35650015641826	10.286182439342802
6	7   Shivers	Ed Sheeran	pop	2021	2023‑04‑13	67.6328502415459	86	76.71232876712328	86.95652173913044	2.1739130434782608	84.375	208	28.282828282828284	9	87	-22.921557745411224	-13.322729791963713	94.4080832145156	78.25710763080477	11.242004432352111
7	8   Bad Habits	Ed Sheeran	pop	2021	2023‑04‑13	60.38647342995169	89	79.45205479452055	82.6086956521739	38.04347826086956	55.208333333333336	231	5.05050505050505	3	87	-52.808456813519335	-28.47823887324706	70.9991366915131	112.10824707768573	15.240421449455845
8	9   STAY (with Justin Bieber)	The Kid LAROI	australian hip hop	2021	2023‑04‑13	81.64251207729468	76	49.31506849315068	78.26086956521739	8.695652173913043	48.958333333333336	142	4.040404040404041	5	87	-46.738337815318154	-5.893819260201781	56.518189639094935	87.2284206718766	9.99732152525854
9	10  drivers license	Olivia Rodrigo	pop	2021	2023‑04‑13	69.08212560386474	43	45.205479452054796	60.869565217391305	9.782608695652174	13.541666666666666	242	77.77777777777777	6	86	-50.93395539673086	-32.37613534842168	61.07243067963735	92.46378879624115	14.331217738733375
10	11  Heat Waves	Glass Animals	gauze pop	2020	2023‑04‑13	38.64734299516908	53	72.6027397260274	69.56521739130434	7.608695652173913	54.166666666666664	239	44.44444444444444	9	86	-22.059972867447556	-26.875794123486195	83.54950036397327	73.93645357686454	11.942103434584077
11	12  deja vu	Olivia Rodrigo	pop	2021	2023‑04‑13	86.95652173913044	61	28.767123287671232	69.56521739130434	38.04347826086956	17.708333333333332	216	58.58585858585859	11	86	-72.02494570481467	-35.887141027607825	42.81508654141173	112.74529203590399	13.90730544726599
12	13  good 4 u	Olivia Rodrigo	pop	2021	2023‑04‑13	80.19323671497584	66	45.205479452054796	78.26086956521739	6.521739130434782	70.83333333333333	178	34.343434343434346	15	86	-30.87620396941422	-10.82981617846121	71.01072668315075	72.88838804964476	8.689707527929688
13	14  Beggin'	Måneskin	indie rock italiano	2017	2023‑04‑13	64.2512077294686	80	65.75342465753425	78.26086956521739	36.95652173913044	60.416666666666664	212	13.131313131313131	5	85	-47.47969269827519	-26.192774604291877	66.62445780015763	101.0719997774048	13.222960320898085
14	15  Fair Trade (with Travis Scott)	Drake	canadian hip hop	2021	2023‑04‑13	80.67632850241546	47	60.273972602739725	60.869565217391305	21.73913043478261	29.166666666666668	291	5.05050505050505	26	84	-58.082925743437954	-12.332870846643928	48.79852124581131	100.41841433994502	14.774078636273396
15	16  telepatía	Kali Uchis	colombian pop	2020	2023‑04‑13	40.09661835748792	52	57.534246575342465	60.869565217391305	19.565217391304348	56.25	160	11.11111111111111	5	84	-23.840844417973653	-17.7318468334326	61.150155515849384	66.68151512143471	9.234626265634308
16	17  Leave Before You Love Me (with Jonas Brothers)	Marshmello	brostep	2021	2023‑04‑13	57.48792270531401	74	67.12328767123287	78.26086956521739	10.869565217391305	65.625	155	0.0	4	84	-30.201194494077157	-10.45768603997088	71.29031831116404	78.28382883330025	9.937981850969495
17	18  THATS WHAT I WANT	Lil Nas X	lgbtq+ hip hop	2021	2023‑04‑13	42.028985507246375	85	69.86301369863014	78.26086956521739	3.260869565217391	56.25	144	1.0101010101010102	22	84	-25.47862935489498	-12.227229486647298	72.8014420560579	73.37939625558745	9.254978688011743
18	19  All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)	Taylor Swift	pop	2021	2023‑04‑13	44.44444444444444	52	54.794520547945204	60.869565217391305	7.608695652173913	20.833333333333332	613	27.272727272727273	3	84	-38.814727080212485	-21.05742580660687	55.539339193002085	79.16343452391695	11.285808501934174
19	20  Levitating (feat. DaBaby)	Dua Lipa	dance pop	2020	2023‑04‑13	49.27536231884058	83	64.38356164383562	82.6086956521739	5.434782608695652	94.79166666666667	203	1.0101010101010102	6	84	-9.082411367998015	-6.422949905547432	82.41907159745158	57.07037054583957	6.248743577827111
20	21  Peaches (feat. Daniel Caesar & Giveon)	Justin Bieber	canadian pop	2021	2023‑04‑13	42.99516908212561	70	61.64383561643836	73.91304347826087	43.47826086956522	46.875	198	32.323232323232325	12	84	-45.92432213739539	-40.39779326168174	64.74984508575933	100.13716039188793	13.191614439511254
21	22  Easy On Me	Adele	british soul	2021	2023‑04‑13	68.1159420289855	37	50.68493150684932	65.21739130434783	11.956521739130435	12.5	225	58.58585858585859	3	84	-55.33807852196773	-29.572103554905823	58.64891620192395	98.57288038214185	14.534148061917566
22	23  Streets	Doja Cat	dance pop	2019	2023‑04‑13	42.99516908212561	46	71.23287671232876	65.21739130434783	34.78260869565217	18.75	227	21.21212121212121	8	83	-55.8933678656728	-35.792110729089586	57.06392092455225	108.1633871472317	15.911274372672526
