	sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	mellow	unpretenious	sophisticated	intense	contemperory
0	1   Sweater Weather	The Neighbourhood	modern alternative rock	2013	2023‑04‑13	59.42028985507246	81.0	52.054794520547944	86.95652173913044	8.695652173913043	40.625	240.0	5.05050505050505	3.0	91.0	-45.404661565024874	-14.908078890453075	59.509989712491205	89.57549775599954	9.04816498065828
1	2   I Love You So	The Walters	chicago indie	2014	2023‑04‑13	36.231884057971016	65.0	46.57534246575342	78.26086956521739	10.869565217391305	47.916666666666664	160.0	58.58585858585859	4.0	88.0	-25.78819764049067	-33.69160673139977	73.79692096666487	71.99215276649763	8.327365751018224
2	3   Happier Than Ever	Billie Eilish	art pop	2021	2023‑04‑13	38.64734299516908	23.0	13.698630136986301	60.869565217391305	11.956521739130435	30.208333333333332	299.0	77.77777777777777	3.0	87.0	-26.069651247435637	-34.14951235854676	51.35930778902785	56.98195437098802	5.547517123287671
3	4   Dark Red	Steve Lacy	afrofuturism	2017	2023‑04‑13	82.6086956521739	78.0	50.68493150684932	82.6086956521739	10.869565217391305	79.16666666666667	173.0	45.45454545454545	6.0	87.0	-30.991020990127573	-16.312990687097297	79.96314545093581	78.27138718934428	9.892953507679536
4	5   traitor	Olivia Rodrigo	pop	2021	2023‑04‑13	48.309178743961354	34.0	20.54794520547945	65.21739130434783	10.869565217391305	7.291666666666667	229.0	69.6969696969697	3.0	86.0	-45.35634336215039	-34.31847829847011	45.968583993598884	78.33564839881845	8.548390583921407
5	6   Freaks	Surf Curse	dreamo	2021	2023‑04‑13	86.47342995169082	94.0	16.438356164383563	56.52173913043478	3.260869565217391	41.666666666666664	147.0	0.0	5.0	86.0	-38.6693302891933	7.2050658460724	30.53600026470783	59.33498775726291	5.360945668718153
6	7   Yonaguni	Bad Bunny	reggaeton	2021	2023‑04‑13	86.47342995169082	65.0	56.16438356164384	78.26086956521739	13.043478260869565	44.791666666666664	207.0	28.282828282828284	12.0	85.0	-52.73374754092443	-15.811550022259524	64.7930345744521	98.89694781345317	13.157368240174225
7	8   abcdefu	GAYLE	modern alternative pop	2021	2023‑04‑13	58.45410628019324	54.0	64.38356164383562	73.91304347826087	38.04347826086956	42.708333333333336	169.0	30.303030303030305	5.0	84.0	-52.753030603834645	-34.688238662684014	64.37603251093425	106.37982377377107	14.670158817177132
8	9   Pepas	Farruko	reggaeton	2021	2023‑04‑13	62.31884057971015	77.0	72.6027397260274	82.6086956521739	11.956521739130435	44.791666666666664	287.0	1.0101010101010102	3.0	84.0	-46.66043400051738	-15.087929059805917	68.42740989405671	97.74994171915702	12.711221243104061
9	10  favorite crime	Olivia Rodrigo	pop	2021	2023‑04‑13	83.09178743961353	27.0	19.17808219178082	56.52173913043478	14.130434782608695	21.875	153.0	87.87878787878788	4.0	84.0	-49.314683463581616	-29.268830916370376	49.86376871755073	81.54633251815352	11.32630109161899
10	11  Knife Talk (with 21 Savage ft. Project Pat)	Drake	canadian hip hop	2021	2023‑04‑13	70.04830917874396	42.0	84.93150684931507	56.52173913043478	6.521739130434782	14.583333333333334	243.0	6.0606060606060606	32.0	83.0	-55.53701999145715	-11.449212569410603	60.42125242899514	103.24253629204492	18.08989876429573
11	12  Wants and Needs (feat. Lil Baby)	Drake	canadian hip hop	2021	2023‑04‑13	65.21739130434783	45.0	47.945205479452056	73.91304347826087	10.869565217391305	9.375	193.0	6.0606060606060606	29.0	83.0	-60.96007273449204	-15.833467003266739	43.22914072229142	99.95107229230965	11.606424391322397
12	13  Don't Stop Me Now - Remastered 2011	Queen	classic rock	1978	2023‑04‑13	74.8792270531401	87.0	45.205479452054796	78.26086956521739	82.6086956521739	62.5	209.0	5.05050505050505	17.0	83.0	-70.48336251135537	-40.68982935369178	43.189031470151185	123.96238892799344	13.763159438338116
13	14  You Belong With Me (Taylor’s Version)	Taylor Swift	pop	2021	2023‑04‑13	62.31884057971015	77.0	54.794520547945204	78.26086956521739	7.608695652173913	47.916666666666664	231.0	6.0606060606060606	3.0	83.0	-39.00335246449005	-11.00854021152562	61.28681394047684	81.93676566137852	9.44970288050246
14	15  I Gotta Feeling	Black Eyed Peas	dance pop	2009	2023‑04‑13	61.35265700483092	77.0	69.86301369863014	73.91304347826087	53.26086956521739	62.5	289.0	9.090909090909092	3.0	83.0	-51.73159378177246	-32.41313747962051	63.69911443199115	108.54853327798533	14.817039513659527
15	16  family ties (with Kendrick Lamar)	Baby Keem	rap	2021	2023‑04‑13	64.2512077294686	61.0	65.75342465753425	78.26086956521739	22.82608695652174	13.541666666666666	252.0	1.0101010101010102	33.0	82.0	-67.69444895650972	-22.683840151063947	51.09678981596791	116.45235221482244	14.888927053440904
16	17  2055	Sleepy Hallow	brooklyn drill	2021	2023‑04‑13	38.64734299516908	51.0	82.1917808219178	73.91304347826087	10.869565217391305	65.625	124.0	49.494949494949495	19.0	82.0	-19.63035807749923	-30.473147383603756	94.2700320657438	77.63489157507175	13.102612072181012
17	18  You Right	Doja Cat	dance pop	2021	2023‑04‑13	61.83574879227053	62.0	82.1917808219178	73.91304347826087	6.521739130434782	44.791666666666664	186.0	2.0202020202020203	6.0	82.0	-41.59829834978732	-11.69256986933059	72.69427448998623	93.14883536075466	14.169201883336038
18	19  I Wanna Dance with Somebody (Who Loves Me)	Whitney Houston	dance pop	1987	2023‑04‑13	57.00483091787439	82.0	65.75342465753425	60.869565217391305	7.608695652173913	89.58333333333333	291.0	21.21212121212121	5.0	82.0	-7.22420301887246	-7.308332355719197	80.65014949976236	52.25502568869156	9.098728876014464
19	20  Mood (feat. iann dior)	24kGoldn	cali rap	2021	2023‑04‑13	43.47826086956522	72.0	64.38356164383562	82.6086956521739	32.608695652173914	75.0	141.0	17.171717171717173	4.0	82.0	-29.636649400496925	-28.720641495358592	75.36175934448717	84.12392236841313	9.990769818494657
20	21  RAPSTAR	Polo G	chicago rap	2021	2023‑04‑13	38.64734299516908	54.0	76.71232876712328	69.56521739130434	11.956521739130435	44.791666666666664	166.0	41.41414141414141	24.0	81.0	-29.957021074352813	-29.88166150035194	80.86196990753274	83.73070227287768	13.523597537314782
21	22  Jugaste y Sufrí	Eslabon Armado	corrido	2020	2023‑04‑13	96.13526570048309	50.0	21.91780821917808	65.21739130434783	10.869565217391305	34.375	275.0	63.63636363636363	4.0	81.0	-51.20860932132522	-18.0061362207543	50.19527015238748	83.68754662467438	10.469096677014335
22	23  DÁKITI	Bad Bunny	reggaeton	2020	2023‑04‑13	52.65700483091788	57.0	68.4931506849315	56.52173913043478	9.782608695652174	13.541666666666666	205.0	40.4040404040404	5.0	80.0	-46.64931025562353	-25.835012385619144	62.17862063156881	92.48915261910349	15.611597474145867
23	24  Tell Em	Cochise	plugg	2021	2023‑04‑13	75.84541062801932	72.0	60.273972602739725	69.56521739130434	41.30434782608695	47.916666666666664	180.0	10.1010101010101	23.0	80.0	-57.75310580492236	-23.801003257711116	54.69531527304011	107.04352413353307	14.58147323442886
24	25  Ain't Shit	Doja Cat	dance pop	2021	2023‑04‑13	59.42028985507246	49.0	86.3013698630137	78.26086956521739	35.869565217391305	63.541666666666664	174.0	51.515151515151516	21.0	79.0	-43.482610500478266	-40.42435127781688	90.6073149602036	108.67411721443138	17.5592845894923
